Latitude,Longitude,Year,Month,Day,Temperature,Temp_MAX,Temp_MIN,Dew,Wind speed,Wind speed_MAX,Wind speed_MIN,Wind direction,Relative humidity,specfic humidity, Surface Pressure,Fire
29.37,79.02,2019,5,31,36.37,44.98,27.59,2.22,3.12,4.74,2.14,216.19,12.88,4.7,94.26,0
29.71,78.78,2020,5,27,34.91,43.37,27.01,11.11,3.22,6.18,0.75,146.75,26.62,8.91,94.23,0
29.66,78.82,2020,5,26,34.65,43.61,26.44,10.1,3.86,6.27,1.33,198.19,25.25,8.3,94.3,0
29.4,78.92,2019,5,10,33.29,41.29,24.94,7.23,4.37,7.44,2.59,296.56,20.81,6.77,94.48,0
29.47,79.01,2019,5,11,33.15,40.47,26.78,8.62,3.06,5.23,0.66,240.62,24.31,7.51,94.74,0
29.44,79.05,2019,4,30,32.67,41.23,23.58,2.2,3.34,4.72,1.79,126.81,15.94,4.82,94.47,0.36
29.42,79.09,2019,5,31,31.83,39.64,22.4,1.23,3.33,5.56,1.21,188.75,15.44,4.7,88.57,0
29.57,79.03,2019,5,7,31.76,40.73,23.44,-0.53,4.9,8.44,2.42,219.5,14.25,3.91,94.49,0
29.63,78.81,2019,5,26,31.66,39.97,22.97,7.86,3.49,5.52,1.66,271.44,25.69,7.14,94.47,0
29.76,78.68,2019,5,31,30.76,38.81,21.37,0.89,3.47,5.87,1.14,206.75,16.19,4.7,86.76,0
29.73,78.75,2021,4,27,30.5,39.29,22.15,5.63,3.59,6.05,1.29,201.69,22.94,6.04,94.88,0
29.6,78.92,2021,4,12,29.29,37.17,21.98,3.15,4.72,9.16,1.4,306.69,19.5,5.07,95.26,0.24
29.77,78.71,2020,5,26,28.35,36.44,21.08,8.71,3.61,6.2,1.22,193.38,32.62,8.24,86.81,0
29.48,79.1,2019,5,11,27.89,35.53,21.48,8.23,2.7,5.09,0.1,204.19,31.94,7.75,88.95,0
29.51,78.9,2021,3,29,27.69,36.18,19.65,4.81,3.16,5.25,1.59,163.62,25.38,5.68,94.75,0
29.69,78.82,2021,4,18,27.44,34.93,20.61,7.21,3.74,7.2,0.99,230.44,29.62,6.65,95.24,0
29.55,79.1,2019,5,15,25.83,33.46,17.87,10.13,2.98,5.45,0.82,196.31,41.25,8.79,88.99,0
29.53,79.05,2021,3,27,25.76,34.18,18.58,3.31,2.77,4.45,1.02,189.5,25.12,5.07,95.09,0
29.59,79.07,2021,4,5,24.36,32.24,16.2,-4.45,3.04,6.23,0.41,136.31,14.75,3.11,89.16,0
29.54,78.85,2021,4,1,24.08,33.94,13.97,-9.95,6.56,11.56,2.76,304.81,10.56,1.83,94.29,0
29.58,78.97,2021,3,9,24.08,32.44,16.44,3.59,2.63,3.46,1.31,158.94,28.5,5.19,95.4,0
29.49,78.82,2021,3,26,22.92,31.87,15,2.38,2.87,5.5,0.79,206.25,27.56,4.76,95.19,0
29.59,78.64,2021,3,26,22.92,31.87,15,2.38,2.87,5.5,0.79,206.25,27.56,4.76,95.19,0
29.51,78.73,2021,2,16,18.23,26.9,11.94,1.01,2.84,3.7,1.89,172.56,34.44,4.33,95.34,0

